DATE,NAME,WATER_INJECTION_VOLUME,SECTOR,ZONE,SUBZONE,WELL_TYPE
02/07/2017,I4,509.0,1,WARA,WARA1,Injector
02/08/2017,I4,519.0,1,WARA,WARA1,Injector
02/09/2017,I4,559.774,1,WARA,WARA1,Injector
02/10/2017,I4,583.0,1,WARA,WARA1,Injector
02/11/2017,I4,666.29,1,WARA,WARA1,Injector
02/12/2017,I4,675.0,1,WARA,WARA1,Injector
02/01/2018,I4,605.452,1,WARA,WARA1,Injector
02/02/2018,I4,615.645,1,WARA,WARA1,Injector
02/03/2018,I4,567.0,1,WARA,WARA1,Injector
02/04/2018,I4,695.71,1,WARA,WARA1,Injector
02/05/2018,I4,681.0,1,WARA,WARA1,Injector
02/06/2018,I4,719.71,1,WARA,WARA1,Injector
02/07/2018,I4,697.0,1,WARA,WARA1,Injector
02/08/2018,I4,663.129,1,WARA,WARA1,Injector
02/09/2018,I4,682.258,1,WARA,WARA1,Injector
02/10/2018,I4,660.0,1,WARA,WARA1,Injector
02/11/2018,I4,668.323,1,WARA,WARA1,Injector
02/12/2018,I4,708.0,1,WARA,WARA1,Injector
02/01/2019,I4,747.71,1,WARA,WARA1,Injector
02/02/2019,I4,858.129,1,WARA,WARA1,Injector
02/03/2019,I4,832.0,1,WARA,WARA1,Injector
02/04/2019,I4,781.677,1,WARA,WARA1,Injector
02/05/2019,I4,700.733,1,WARA,WARA1,Injector
02/06/2019,I4,702.839,1,WARA,WARA1,Injector
02/07/2019,I4,792.0,1,WARA,WARA1,Injector
02/08/2019,I4,729.097,1,WARA,WARA1,Injector
02/09/2019,I4,855.0,1,WARA,WARA1,Injector
02/10/2019,I4,835.0,1,WARA,WARA1,Injector
02/11/2019,I4,832.0,1,WARA,WARA1,Injector
02/12/2019,I4,813.0,1,WARA,WARA1,Injector
02/01/2020,I4,725.548,1,WARA,WARA1,Injector
02/02/2020,I4,657.645,1,WARA,WARA1,Injector
02/03/2020,I4,827.0,1,WARA,WARA1,Injector
02/04/2020,I4,849.0,1,WARA,WARA1,Injector
02/05/2020,I4,812.0,1,WARA,WARA1,Injector
02/06/2020,I4,851.0,1,WARA,WARA1,Injector
02/07/2020,I4,832.0,1,WARA,WARA1,Injector
02/08/2020,I4,820.0,1,WARA,WARA1,Injector
02/09/2020,I4,1031.65,1,WARA,WARA1,Injector
02/10/2020,I4,728.7,1,WARA,WARA1,Injector
02/11/2020,I4,959.839,1,WARA,WARA1,Injector
02/12/2020,I4,1183.43,1,WARA,WARA1,Injector
02/01/2021,I4,852.161,1,WARA,WARA1,Injector
02/02/2021,I4,985.71,1,WARA,WARA1,Injector
02/03/2021,I4,1112.0,1,WARA,WARA1,Injector
02/04/2021,I4,1112.97,1,WARA,WARA1,Injector
02/05/2021,I4,1154.0,1,WARA,WARA1,Injector
02/06/2021,I4,806.0,1,WARA,WARA1,Injector
02/07/2021,I4,646.0,1,WARA,WARA1,Injector
02/08/2021,I4,617.0,1,WARA,WARA1,Injector
02/09/2021,I4,793.774,1,WARA,WARA1,Injector
02/10/2021,I4,847.0,1,WARA,WARA1,Injector
02/11/2021,I4,685.323,1,WARA,WARA1,Injector
02/12/2021,I4,725.0,1,WARA,WARA1,Injector
02/01/2022,I4,908.29,1,WARA,WARA1,Injector
02/02/2022,I4,837.839,1,WARA,WARA1,Injector
02/03/2022,I4,995.0,1,WARA,WARA1,Injector
02/04/2022,I4,807.258,1,WARA,WARA1,Injector
02/05/2022,I4,879.0,1,WARA,WARA1,Injector
02/06/2022,I4,969.968,1,WARA,WARA1,Injector
02/07/2022,I4,799.0,1,WARA,WARA1,Injector
02/08/2022,I4,1022.55,1,WARA,WARA1,Injector
02/09/2022,I4,1003.0,1,WARA,WARA1,Injector
02/10/2022,I4,853.0,1,WARA,WARA1,Injector
02/11/2022,I4,841.355,1,WARA,WARA1,Injector
02/12/2022,I4,942.0,1,WARA,WARA1,Injector
02/01/2023,I4,981.935,1,WARA,WARA1,Injector
02/02/2023,I4,979.581,1,WARA,WARA1,Injector
02/03/2023,I4,967.0,1,WARA,WARA1,Injector
02/04/2023,I4,937.968,1,WARA,WARA1,Injector
02/05/2023,I4,960.2,1,WARA,WARA1,Injector
02/06/2023,I4,909.71,1,WARA,WARA1,Injector
02/07/2023,I4,997.0,1,WARA,WARA1,Injector
02/08/2023,I4,1184.74,1,WARA,WARA1,Injector
02/09/2023,I4,1203.0,1,WARA,WARA1,Injector
02/10/2023,I4,1350.0,1,WARA,WARA1,Injector
02/11/2023,I4,1268.0,1,WARA,WARA1,Injector
02/12/2023,I4,1133.0,1,WARA,WARA1,Injector
31/12/2023,I4,1055.0,1,WARA,WARA1,Injector
02/12/2015,I5,0.0,1,WARA,WARA1,Injector
02/01/2016,I5,761.29,1,WARA,WARA1,Injector
02/02/2016,I5,535.613,1,WARA,WARA1,Injector
02/03/2016,I5,1052.0,1,WARA,WARA1,Injector
02/04/2016,I5,1018.0,1,WARA,WARA1,Injector
02/05/2016,I5,788.0,1,WARA,WARA1,Injector
02/06/2016,I5,127.0,1,WARA,WARA1,Injector
02/07/2016,I5,241.0,1,WARA,WARA1,Injector
02/08/2016,I5,248.0,1,WARA,WARA1,Injector
02/09/2016,I5,408.484,1,WARA,WARA1,Injector
02/10/2016,I5,673.767,1,WARA,WARA1,Injector
02/11/2016,I5,984.387,1,WARA,WARA1,Injector
02/12/2016,I5,940.167,1,WARA,WARA1,Injector
